"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"dtRSA20mm_SON","day","Number of heavy rain days in autumn","number of days with at least 20 mm of precipitation (months of September, October, and November)","","09-01, 11-30","Precipitations, Heavy, Duration","dtRSA20mm_SON","jour","Nombre de jours de forte pluie en automne","Nombre de jours en automne avec au moins 20 mm de précipitations (mois de septembre, octobre et novembre)","","01-09, 30-11","Précipitations, Forte, Durée",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/dtRSA20mm_season.R"
"dtRSA50mm_DJF","day","Number of extreme rain days in winter","Number of days with at least 50 mm of precipitation (months of December, January, and February)","","12-01, 02-28(29)","Precipitations, Heavy, Duration","dtRSA50mm_DJF","jour","Nombre de jours de pluie extrème en hiver","Nombre de jours dans l'hiver avec au moins 50 mm de précipitations (mois de décembre, janvier et février)","","01-12, 28(29)-02","Précipitations, Forte, Durée",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/dtRSA50mm_season.R"
"dtRSA50mm_MAM","day","Number of extreme rain days in spring","Number of days with at least 50 mm of precipitation (months of March, April, and May)","","03-01, 05-31","Precipitations, Heavy, Duration","dtRSA50mm_MAM","jour","Nombre de jours de pluie extrème au printemps","Nombre de jours au printemps avec au moins 50 mm de précipitations (mois de mars, avril et mai)","","01-03, 31-05","Précipitations, Forte, Durée",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/dtRSA50mm_season.R"
"dtRSA50mm_JJA","day","Number of extreme rain days in summer","Number of days with at least 50 mm of precipitation (months of June, July, and August)","","06-01, 08-31","Precipitations, Heavy, Duration","dtRSA50mm_JJA","jour","Nombre de jours de pluie extrème en été","Nombre de jours en été avec au moins 50 mm de précipitations (mois de juin, juillet et août)","","01-06, 31-08","Précipitations, Forte, Durée",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/dtRSA50mm_season.R"
"dtRSA50mm_SON","day","Number of extreme rain days in autumn","Number of days with at least 50 mm of precipitation (months of September, October, and November)","","09-01, 11-30","Precipitations, Heavy, Duration","dtRSA50mm_SON","jour","Nombre de jours de pluie extrème en automne","Nombre de jours en automne avec au moins 50 mm de précipitations (mois de septembre, octobre et novembre)","","01-09, 30-11","Précipitations, Forte, Durée",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/dtRSA50mm_season.R"
"meanRA","mm","Mean of annual total precipitation accumulations","","1. annual aggregation [09-01, 08-31] - mean
2. no temporal aggregation - average","09-01, 08-31","Precipitations, Moderate, Intensity","moyRA","mm","Moyenne des cumuls des précipitations totales annuelles","","1. agrégation annuelle [01-09, 31-08] - moyenne
2. aucune agrégation temporelle - moyenne","01-09, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/moyRA.R"
"meanRA_DJF","mm","Average total precipitations of each winter (months of December, January and February)","description","1. seasonal annual aggregation [12-01, 02-28(29)] - average
2. no temporal aggregation - average","12-01, 02-28(29)","Precipitations, Moderate, Intensity","moyRA_DJF","mm","Moyenne des précipitations totales de chaque hiver","Mois de décembre, janvier et février","1. agrégation annuelle saisonnalisé [01-12, 28(29)-02] - moyenne
2. aucune agrégation temporelle - moyenne","01-12, 28(29)-02","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/moyRSA_season.R"
"meanRA_MAM","mm","Average total precipitations of each spring (months of March, April and May)","description","1. seasonal annual aggregation [03-01, 05-31] - average
2. no temporal aggregation - average","03-01, 05-31","Precipitations, Moderate, Intensity","moyRA_MAM","mm","Moyenne des précipitations totales de chaque printemps","Mois de mars, avril et mai","1. agrégation annuelle saisonnalisé [01-03, 31-05] - moyenne
2. aucune agrégation temporelle - moyenne","01-03, 31-05","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/moyRSA_season.R"
"meanRA_JJA","mm","Average total precipitations of each summer (months of June, July and August)","description","1. seasonal annual aggregation [06-01, 08-31] - average
2. no temporal aggregation - average","06-01, 08-31","Precipitations, Moderate, Intensity","moyRA_JJA","mm","Moyenne des précipitations totales de chaque été","Mois de juin, juillet et août","1. agrégation annuelle saisonnalisé [01-06, 31-08] - moyenne
2. aucune agrégation temporelle - moyenne","01-06, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/moyRSA_season.R"
"meanRA_SON","mm","Average total precipitations of each fall (months of September, October and November)","description","1. seasonal annual aggregation [09-01, 11-30] - average
2. no temporal aggregation - average","09-01, 11-30","Precipitations, Moderate, Intensity","moyRA_SON","mm","Moyenne des précipitations totales de chaque automne","Mois de septembre, octobre et novembre","1. agrégation annuelle saisonnalisé [01-09, 30-11] - moyenne
2. aucune agrégation temporelle - moyenne","01-09, 30-11","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/moyRSA_season.R"
"RA","mm","Annual precipitation","","","09-01, 08-31","Precipitations, Moderate, Intensity","RA","mm","Précipitation annuelle","","","01-09, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RA_all.R"
"RA_ratio","without unit","Precipitation ratio","","","09-01, 08-31","Precipitations, Moderate, Ratio","RA_ratio","sans unité","Ratio des précipitation","","","01-09, 31-08","Précipitations, Modérée, Ratio",NA,NA,FALSE,FALSE,NA,"Precipitations/RA_ratio.R"
"RAl_ratio","without unit","Ratio of annual liquid precipitation to total annual precipitation","","","09-01, 08-31","Precipitations, Moderate, Ratio","RAl_ratio","sans unité","Ratio des précipitations annuelles liquides sur les précipitations annuelles totales","","","01-09, 31-08","Précipitations, Modérée, Ratio",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RAl_ratio.R"
"RAl","mm","Cumulative annual liquid precipitation","","1. Annual aggregation [09-01, 08-31] - average","09-01, 08-31","Precipitations, Moderate, Intensity","RAl","mm","Cumul des précipitations liquides annuelles","","1. agrégation annuelle [01-09, 31-08] - moyenne","01-09, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RAl.R"
"RAs_ratio","without unit","Ratio of annual solid precipitation to total annual precipitation","","","09-01, 08-31","Precipitations, Moderate, Ratio","RAs_ratio","sans unité","Ratio des précipitations annuelles solides sur les précipitations annuelles totales","","","01-09, 31-08","Précipitations, Modérée, Ratio",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RAs_ratio.R"
"RAs","mm","Cumulative annual solid precipitation","","1. Annual aggregation [09-01, 08-31] - average","09-01, 08-31","Precipitations, Moderate, Intensity","RAs","mm","Cumul des précipitations solides annuelles","","1. agrégation annuelle [01-09, 31-08] - moyenne","01-09, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RAs.R"
"RCXA1","mm","Annual maximum of daily precipitation","","","Month of minimum monthly precipitation","Precipitations, Heavy, Intensity","RCXA1","mm","Maximum annuel des précipitations journalières","","","Mois du minimum des précipitations mensuelles","Précipitations, Forte, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RCXA1.R"
"RCXA5","mm","Annual maximum of 5-day cumulative daily precipitation","","","Month of minimum monthly precipitation","Precipitations, Heavy, Intensity","RCXA5","mm","Maximum annuel du cumul sur 5 jours des précipitations journalières","","","Mois du minimum des précipitations mensuelles","Précipitations, Forte, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RCXA5.R"
"RMA_jan","mm","Cumulative daily precipitation for each January","","","01-01, 01-31","Precipitations, Moderate, Intensity","RMA_janv","mm","Cumul des précipitations journalières de chaque janvier","","","01-01, 31-01","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_feb","mm","Cumulative daily precipitation for each February","","","02-01, 02-28(29)","Precipitations, Moderate, Intensity","RMA_fevr","mm","Cumul des précipitations journalières de chaque février","","","01-02, 28(29)-02","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_mar","mm","Cumulative daily precipitation for each March","","","03-01, 03-31","Precipitations, Moderate, Intensity","RMA_mars","mm","Cumul des précipitations journalières de chaque mars","","","01-03, 31-03","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_apr","mm","Cumulative daily precipitation for each April","","","04-01, 04-30","Precipitations, Moderate, Intensity","RMA_avril","mm","Cumul des précipitations journalières de chaque avril","","","01-04, 30-04","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_may","mm","Cumulative daily precipitation for each May","","","05-01, 05-31","Precipitations, Moderate, Intensity","RMA_mai","mm","Cumul des précipitations journalières de chaque mai","","","01-05, 31-05","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_jun","mm","Cumulative daily precipitation for each June","","","06-01, 06-30","Precipitations, Moderate, Intensity","RMA_juin","mm","Cumul des précipitations journalières de chaque juin","","","01-06, 30-06","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_jul","mm","Cumulative daily precipitation for each July","","","07-01, 07-31","Precipitations, Moderate, Intensity","RMA_juil","mm","Cumul des précipitations journalières de chaque juillet","","","01-07, 31-07","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_aug","mm","Cumulative daily precipitation for each August","","","08-01, 08-31","Precipitations, Moderate, Intensity","RMA_aout","mm","Cumul des précipitations journalières de chaque août","","","01-08, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_sep","mm","Cumulative daily precipitation for each September","","","09-01, 09-30","Precipitations, Moderate, Intensity","RMA_sept","mm","Cumul des précipitations journalières de chaque septembre","","","01-09, 30-09","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_oct","mm","Cumulative daily precipitation for each October","","","10-01, 10-31","Precipitations, Moderate, Intensity","RMA_oct","mm","Cumul des précipitations journalières de chaque octobre","","","01-10, 31-10","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_nov","mm","Cumulative daily precipitation for each November","","","11-01, 11-30","Precipitations, Moderate, Intensity","RMA_nov","mm","Cumul des précipitations journalières de chaque novembre","","","01-11, 30-11","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMA_dec","mm","Cumulative daily precipitation for each December","","","12-01, 12-31","Precipitations, Moderate, Intensity","RMA_dec","mm","Cumul des précipitations journalières de chaque décembre","","","01-12, 31-12","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMA_month.R"
"RMAl_jan","mm","Cumulative daily liquid precipitation for each January","","","01-01, 01-31","Precipitations, Moderate, Intensity","RMAl_janv","mm","Cumul des précipitations liquides journalières de chaque janvier","","","01-01, 31-01","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_feb","mm","Cumulative daily liquid precipitation for each February","","","02-01, 02-28(29)","Precipitations, Moderate, Intensity","RMAl_fevr","mm","Cumul des précipitations liquides journalières de chaque février","","","01-02, 28(29)-02","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_mar","mm","Cumulative daily liquid precipitation for each March","","","03-01, 03-31","Precipitations, Moderate, Intensity","RMAl_mars","mm","Cumul des précipitations liquides journalières de chaque mars","","","01-03, 31-03","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_apr","mm","Cumulative daily liquid precipitation for each April","","","04-01, 04-30","Precipitations, Moderate, Intensity","RMAl_avril","mm","Cumul des précipitations liquides journalières de chaque avril","","","01-04, 30-04","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_may","mm","Cumulative daily liquid precipitation for each May","","","05-01, 05-31","Precipitations, Moderate, Intensity","RMAl_mai","mm","Cumul des précipitations liquides journalières de chaque mai","","","01-05, 31-05","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_jun","mm","Cumulative daily liquid precipitation for each June","","","06-01, 06-30","Precipitations, Moderate, Intensity","RMAl_juin","mm","Cumul des précipitations liquides journalières de chaque juin","","","01-06, 30-06","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_jul","mm","Cumulative daily liquid precipitation for each July","","","07-01, 07-31","Precipitations, Moderate, Intensity","RMAl_juil","mm","Cumul des précipitations liquides journalières de chaque juillet","","","01-07, 31-07","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_aug","mm","Cumulative daily liquid precipitation for each August","","","08-01, 08-31","Precipitations, Moderate, Intensity","RMAl_aout","mm","Cumul des précipitations liquides journalières de chaque août","","","01-08, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_sep","mm","Cumulative daily liquid precipitation for each September","","","09-01, 09-30","Precipitations, Moderate, Intensity","RMAl_sept","mm","Cumul des précipitations liquides journalières de chaque septembre","","","01-09, 30-09","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_oct","mm","Cumulative daily liquid precipitation for each October","","","10-01, 10-31","Precipitations, Moderate, Intensity","RMAl_oct","mm","Cumul des précipitations liquides journalières de chaque octobre","","","01-10, 31-10","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_nov","mm","Cumulative daily liquid precipitation for each November","","","11-01, 11-30","Precipitations, Moderate, Intensity","RMAl_nov","mm","Cumul des précipitations liquides journalières de chaque novembre","","","01-11, 30-11","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAl_dec","mm","Cumulative daily liquid precipitation for each December","","","12-01, 12-31","Precipitations, Moderate, Intensity","RMAl_dec","mm","Cumul des précipitations liquides journalières de chaque décembre","","","01-12, 31-12","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAl_month.R"
"RMAs_jan","mm","Cumulative daily solid precipitation for each January","","","01-01, 01-31","Precipitations, Moderate, Intensity","RMAs_janv","mm","Cumul des précipitations solides journalières de chaque janvier","","","01-01, 31-01","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_feb","mm","Cumulative daily solid precipitation for each February","","","02-01, 02-28(29)","Precipitations, Moderate, Intensity","RMAs_fevr","mm","Cumul des précipitations solides journalières de chaque février","","","01-02, 28(29)-02","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_mar","mm","Cumulative daily solid precipitation for each March","","","03-01, 03-31","Precipitations, Moderate, Intensity","RMAs_mars","mm","Cumul des précipitations solides journalières de chaque mars","","","01-03, 31-03","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_apr","mm","Cumulative daily solid precipitation for each April","","","04-01, 04-30","Precipitations, Moderate, Intensity","RMAs_avril","mm","Cumul des précipitations solides journalières de chaque avril","","","01-04, 30-04","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_may","mm","Cumulative daily solid precipitation for each May","","","05-01, 05-31","Precipitations, Moderate, Intensity","RMAs_mai","mm","Cumul des précipitations solides journalières de chaque mai","","","01-05, 31-05","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_jun","mm","Cumulative daily solid precipitation for each June","","","06-01, 06-30","Precipitations, Moderate, Intensity","RMAs_juin","mm","Cumul des précipitations solides journalières de chaque juin","","","01-06, 30-06","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_jul","mm","Cumulative daily solid precipitation for each July","","","07-01, 07-31","Precipitations, Moderate, Intensity","RMAs_juil","mm","Cumul des précipitations solides journalières de chaque juillet","","","01-07, 31-07","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_aug","mm","Cumulative daily solid precipitation for each August","","","08-01, 08-31","Precipitations, Moderate, Intensity","RMAs_aout","mm","Cumul des précipitations solides journalières de chaque août","","","01-08, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_sep","mm","Cumulative daily solid precipitation for each September","","","09-01, 09-30","Precipitations, Moderate, Intensity","RMAs_sept","mm","Cumul des précipitations solides journalières de chaque septembre","","","01-09, 30-09","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_oct","mm","Cumulative daily solid precipitation for each October","","","10-01, 10-31","Precipitations, Moderate, Intensity","RMAs_oct","mm","Cumul des précipitations solides journalières de chaque octobre","","","01-10, 31-10","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_nov","mm","Cumulative daily solid precipitation for each November","","","11-01, 11-30","Precipitations, Moderate, Intensity","RMAs_nov","mm","Cumul des précipitations solides journalières de chaque novembre","","","01-11, 30-11","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RMAs_dec","mm","Cumulative daily solid precipitation for each December","","","12-01, 12-31","Precipitations, Moderate, Intensity","RMAs_dec","mm","Cumul des précipitations solides journalières de chaque décembre","","","01-12, 31-12","Précipitations, Modérée, Intensité",NA,NA,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RMAs_month.R"
"RSA_DJF","mm","Cumulative daily precipitation of each winter","Months of December, January, and February","","12-01, 02-28(29)","Precipitations, Moderate, Intensity","RSA_DJF","mm","Cumul des précipitations journalières de chaque hiver","Mois de décembre, janvier et février","","01-12, 28(29)-02","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSA_season.R"
"RSA_MAM","mm","Cumulative daily precipitation of each spring","Months of March, April, and May","","03-01, 05-31","Precipitations, Moderate, Intensity","RSA_MAM","mm","Cumul des précipitations journalières de chaque printemps","Mois de mars, avril et mai","","01-03, 31-05","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSA_season.R"
"RSA_JJA","mm","Cumulative daily precipitation of each summer","Months of June, July, and August","","06-01, 08-31","Precipitations, Moderate, Intensity","RSA_JJA","mm","Cumul des précipitations journalières de chaque été","Mois de juin, juillet et août","","01-06, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSA_season.R"
"RSA_SON","mm","Cumulative daily precipitation of each autumn","Months of September, October, and November","","09-01, 11-30","Precipitations, Moderate, Intensity","RSA_SON","mm","Cumul des précipitations journalières de chaque automne","Mois de septembre, octobre et novembre","","01-09, 30-11","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSA_season.R"
"RSAl_DJF","mm","Cumulative daily liquid precipitation of each winter","Months of December, January, and February","","12-01, 02-28(29)","Precipitations, Moderate, Intensity","RSAl_DJF","mm","Cumul des précipitations liquides journalières de chaque hiver","Mois de décembre, janvier et février","","01-12, 28(29)-02","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSAl_season.R"
"RSAl_MAM","mm","Cumulative daily liquid precipitation of each spring","Months of March, April, and May","","03-01, 05-31","Precipitations, Moderate, Intensity","RSAl_MAM","mm","Cumul des précipitations liquides journalières de chaque printemps","Mois de mars, avril et mai","","01-03, 31-05","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSAl_season.R"
"RSAl_JJA","mm","Cumulative daily liquid precipitation of each summer","Months of June, July, and August","","06-01, 08-31","Precipitations, Moderate, Intensity","RSAl_JJA","mm","Cumul des précipitations liquides journalières de chaque été","Mois de juin, juillet et août","","01-06, 31-08","Précipitations, Modérée, Intensité",NA,NA,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Precipitations/RSAl_season.R"
